date,value
6,0.0
6,16.0
8,37.0
10,0.0
10,30.0
10,30.0
11,0.0
11,18.0
11,27.0
11,9.0
12,25.0
12,41.0
13,15.0
13,15.0
13,15.0
13,23.0
14,0.0
14,0.0
14,21.0
14,71.0
14,78.0
15,13.0
15,13.0
15,13.0
15,13.0
15,20.0
15,26.0
15,6.0
15,6.0
16,0.0
16,0.0
16,18.0
16,37.0
16,43.0
16,6.0
17,0.0
17,0.0
17,0.0
17,23.0
17,41.0
17,5.0
18,0.0
18,0.0
18,0.0
18,11.0
18,11.0
18,11.0
18,16.0
18,5.0
18,5.0
18,50.0
18,50.0
19,0.0
19,10.0
19,15.0
19,26.0
19,26.0
19,31.0
19,36.0
19,5.0
20,0.0
20,15.0
20,15.0
20,20.0
20,20.0
20,25.0
20,25.0
20,25.0
20,40.0
20,45.0
21,0.0
21,0.0
21,0.0
21,0.0
21,0.0
21,14.0
21,4.0
21,9.0
21,9.0
22,18.0
22,27.0
22,4.0
22,77.0
22,9.0
22,9.0
23,13.0
23,17.0
23,21.0
23,21.0
23,21.0
23,21.0
23,21.0
23,21.0
23,30.0
23,30.0
23,30.0
23,39.0
23,4.0
23,4.0
23,43.0
23,47.0
23,47.0
23,8.0
23,8.0
24,0.0
24,12.0
24,16.0
24,20.0
24,25.0
24,29.0
24,33.0
24,33.0
24,37.0
24,37.0
24,37.0
24,37.0
24,4.0
24,4.0
24,4.0
24,4.0
24,8.0
25,0.0
25,0.0
25,12.0
25,12.0
25,12.0
25,16.0
25,16.0
25,16.0
25,24.0
25,24.0
25,24.0
25,28.0
25,28.0
25,32.0
25,36.0
25,36.0
25,4.0
25,40.0
25,40.0
25,8.0
25,8.0
26,0.0
26,19.0
26,3.0
26,34.0
26,42.0
26,42.0
26,46.0
26,46.0
26,46.0
26,53.0
26,57.0
26,7.0
27,0.0
27,0.0
27,0.0
27,11.0
27,11.0
27,18.0
27,18.0
27,18.0
27,25.0
27,25.0
27,25.0
27,29.0
27,3.0
27,3.0
27,3.0
27,33.0
27,37.0
27,37.0
27,40.0
27,7.0
27,7.0
28,0.0
28,0.0
28,0.0
28,10.0
28,14.0
28,17.0
28,21.0
28,25.0
28,28.0
28,3.0
28,3.0
28,32.0
28,35.0
28,35.0
28,39.0
28,50.0
28,7.0
28,7.0
28,7.0
28,7.0
28,7.0
29,0.0
29,0.0
29,0.0
29,0.0
29,10.0
29,13.0
29,13.0
29,17.0
29,17.0
29,17.0
29,17.0
29,17.0
29,20.0
29,20.0
29,20.0
29,24.0
29,24.0
29,24.0
29,27.0
29,27.0
29,27.0
29,3.0
29,3.0
29,3.0
29,31.0
29,37.0
29,51.0
29,51.0
29,6.0
30,0.0
30,0.0
30,0.0
30,0.0
30,10.0
30,10.0
30,13.0
30,13.0
30,13.0
30,13.0
30,23.0
30,3.0
30,30.0
30,30.0
30,30.0
30,33.0
30,33.0
30,40.0
30,6.0
31,0.0
31,0.0
31,12.0
31,12.0
31,12.0
31,16.0
31,16.0
31,16.0
31,19.0
31,19.0
31,19.0
31,22.0
31,25.0
31,25.0
31,25.0
31,29.0
31,3.0
31,32.0
31,35.0
31,54.0
31,58.0
31,6.0
31,6.0
31,6.0
31,6.0
31,9.0
31,9.0
31,9.0
32,12.0
32,12.0
32,12.0
32,12.0
32,15.0
32,15.0
32,15.0
32,18.0
32,18.0
32,18.0
32,18.0
32,18.0
32,18.0
32,25.0
32,3.0
32,3.0
32,31.0
32,31.0
32,34.0
32,37.0
32,37.0
32,43.0
32,46.0
32,46.0
32,6.0
32,9.0
32,9.0
32,9.0
32,9.0
33,0.0
33,0.0
33,15.0
33,15.0
33,15.0
33,18.0
33,18.0
33,18.0
33,18.0
33,18.0
33,18.0
33,21.0
33,21.0
33,24.0
33,24.0
33,27.0
33,27.0
33,30.0
33,33.0
33,36.0
33,42.0
33,54.0
33,6.0
33,6.0
33,9.0
34,0.0
34,0.0
34,0.0
34,11.0
34,11.0
34,11.0
34,11.0
34,11.0
34,14.0
34,14.0
34,14.0
34,14.0
34,17.0
34,17.0
34,17.0
34,2.0
34,2.0
34,2.0
34,20.0
34,20.0
34,20.0
34,20.0
34,20.0
34,23.0
34,26.0
34,29.0
34,29.0
34,47.0
34,8.0
34,8.0
34,8.0
34,8.0
34,8.0
35,11.0
35,11.0
35,11.0
35,14.0
35,14.0
35,14.0
35,14.0
35,17.0
35,17.0
35,17.0
35,17.0
35,17.0
35,2.0
35,2.0
35,20.0
35,20.0
35,20.0
35,20.0
35,20.0
35,22.0
35,25.0
35,25.0
35,25.0
35,28.0
35,28.0
35,28.0
35,28.0
35,31.0
35,31.0
35,40.0
35,45.0
35,48.0
35,48.0
35,5.0
35,5.0
35,5.0
35,5.0
35,5.0
35,8.0
36,0.0
36,0.0
36,0.0
36,0.0
36,11.0
36,11.0
36,11.0
36,11.0
36,11.0
36,13.0
36,13.0
36,13.0
36,16.0
36,16.0
36,16.0
36,16.0
36,16.0
36,19.0
36,2.0
36,2.0
36,2.0
36,2.0
36,2.0
36,2.0
36,22.0
36,27.0
36,27.0
36,27.0
36,30.0
36,30.0
36,38.0
36,44.0
36,47.0
36,5.0
36,5.0
36,5.0
36,5.0
36,50.0
36,8.0
36,8.0
36,8.0
36,8.0
36,8.0
37,0.0
37,0.0
37,0.0
37,0.0
37,10.0
37,10.0
37,13.0
37,13.0
37,13.0
37,13.0
37,13.0
37,13.0
37,13.0
37,16.0
37,16.0
37,16.0
37,16.0
37,18.0
37,2.0
37,2.0
37,2.0
37,21.0
37,21.0
37,21.0
37,21.0
37,24.0
37,24.0
37,24.0
37,27.0
37,29.0
37,32.0
37,32.0
37,37.0
37,40.0
37,5.0
37,5.0
37,5.0
37,5.0
37,5.0
37,5.0
37,8.0
37,8.0
37,8.0
37,8.0
37,8.0
37,8.0
38,0.0
38,0.0
38,0.0
38,0.0
38,10.0
38,10.0
38,10.0
38,10.0
38,10.0
38,10.0
38,13.0
38,13.0
38,15.0
38,18.0
38,18.0
38,18.0
38,2.0
38,2.0
38,21.0
38,21.0
38,23.0
38,23.0
38,26.0
38,26.0
38,26.0
38,28.0
38,28.0
38,34.0
38,34.0
38,36.0
38,39.0
38,5.0
38,5.0
38,5.0
38,7.0
38,7.0
39,0.0
39,10.0
39,10.0
39,12.0
39,12.0
39,12.0
39,12.0
39,15.0
39,15.0
39,15.0
39,17.0
39,17.0
39,17.0
39,17.0
39,17.0
39,20.0
39,20.0
39,20.0
39,25.0
39,25.0
39,25.0
39,28.0
39,28.0
39,28.0
39,30.0
39,33.0
39,33.0
39,41.0
39,46.0
39,46.0
39,5.0
39,5.0
39,7.0
39,7.0
39,7.0
40,0.0
40,10.0
40,10.0
40,10.0
40,10.0
40,12.0
40,12.0
40,12.0
40,12.0
40,12.0
40,12.0
40,15.0
40,17.0
40,17.0
40,17.0
40,17.0
40,2.0
40,2.0
40,2.0
40,2.0
40,2.0
40,2.0
40,2.0
40,2.0
40,20.0
40,20.0
40,22.0
40,22.0
40,22.0
40,22.0
40,27.0
40,30.0
40,30.0
40,30.0
40,32.0
40,32.0
40,37.0
40,37.0
40,37.0
40,5.0
40,5.0
40,5.0
40,5.0
40,7.0
40,7.0
40,7.0
41,0.0
41,12.0
41,12.0
41,12.0
41,12.0
41,12.0
41,12.0
41,14.0
41,14.0
41,14.0
41,17.0
41,17.0
41,17.0
41,19.0
41,2.0
41,21.0
41,21.0
41,24.0
41,24.0
41,24.0
41,31.0
41,34.0
41,4.0
41,4.0
41,7.0
41,7.0
41,7.0
41,7.0
41,9.0
42,11.0
42,11.0
42,11.0
42,11.0
42,11.0
42,11.0
42,14.0
42,16.0
42,16.0
