date,value
8,0.0
11,0.0
11,0.0
11,9.0
13,0.0
13,15.0
14,0.0
14,0.0
15,0.0
15,0.0
15,6.0
15,6.0
16,0.0
16,12.0
16,25.0
16,25.0
17,0.0
17,11.0
17,11.0
17,5.0
18,0.0
18,11.0
18,16.0
18,5.0
19,15.0
19,15.0
19,31.0
19,5.0
20,0.0
20,5.0
20,5.0
21,0.0
21,0.0
21,14.0
21,19.0
21,19.0
21,33.0
21,9.0
22,0.0
22,27.0
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
23,13.0
23,17.0
23,4.0
23,8.0
24,0.0
24,0.0
24,16.0
24,16.0
24,33.0
24,4.0
24,4.0
25,0.0
25,0.0
25,0.0
25,12.0
25,28.0
25,4.0
25,8.0
26,0.0
26,0.0
26,3.0
27,0.0
27,0.0
27,0.0
27,0.0
27,11.0
27,18.0
27,18.0
27,18.0
27,25.0
27,7.0
27,7.0
27,7.0
27,7.0
28,0.0
28,10.0
28,14.0
28,21.0
28,21.0
28,39.0
28,7.0
28,7.0
28,7.0
29,0.0
29,0.0
29,0.0
29,0.0
29,0.0
29,10.0
29,10.0
29,17.0
29,20.0
29,20.0
29,27.0
29,3.0
29,3.0
29,6.0
29,6.0
29,6.0
30,0.0
30,10.0
30,10.0
30,10.0
30,13.0
30,13.0
30,23.0
30,3.0
30,30.0
30,30.0
30,6.0
31,0.0
31,0.0
31,0.0
31,0.0
31,12.0
31,25.0
31,6.0
31,6.0
31,9.0
31,9.0
31,9.0
31,9.0
31,9.0
32,0.0
32,0.0
32,0.0
32,0.0
32,12.0
32,15.0
32,18.0
32,3.0
32,3.0
32,3.0
32,3.0
32,6.0
32,9.0
32,9.0
33,0.0
33,0.0
33,0.0
33,0.0
33,27.0
33,3.0
33,3.0
33,3.0
33,3.0
34,0.0
34,0.0
34,0.0
34,0.0
34,0.0
34,11.0
34,11.0
34,2.0
34,23.0
34,5.0
34,8.0
35,0.0
35,0.0
35,0.0
35,17.0
35,22.0
35,34.0
35,5.0
35,5.0
35,8.0
35,8.0
35,8.0
35,8.0
35,8.0
35,8.0
36,0.0
36,0.0
36,0.0
36,0.0
36,11.0
36,11.0
36,13.0
36,16.0
36,19.0
36,19.0
36,2.0
36,2.0
36,2.0
36,2.0
36,5.0
36,5.0
36,5.0
36,5.0
36,8.0
36,8.0
36,8.0
37,0.0
37,0.0
37,0.0
37,0.0
37,0.0
37,0.0
37,0.0
37,0.0
37,13.0
37,13.0
37,18.0
37,2.0
37,5.0
37,5.0
37,5.0
37,5.0
37,5.0
37,5.0
37,5.0
37,5.0
37,8.0
37,8.0
37,8.0
38,0.0
38,0.0
38,0.0
38,0.0
38,0.0
38,10.0
38,13.0
38,13.0
38,15.0
38,18.0
38,2.0
38,2.0
38,2.0
38,21.0
38,5.0
38,5.0
38,7.0
38,7.0
38,7.0
38,7.0
39,0.0
39,0.0
39,0.0
39,10.0
39,10.0
39,2.0
39,2.0
39,2.0
39,48.0
39,5.0
39,5.0
39,5.0
39,5.0
39,7.0
39,7.0
40,0.0
40,0.0
40,0.0
40,0.0
40,0.0
40,10.0
40,12.0
40,12.0
40,12.0
40,15.0
40,17.0
40,2.0
40,2.0
40,2.0
40,5.0
40,5.0
40,7.0
40,7.0
40,7.0
41,0.0
41,0.0
41,0.0
41,0.0
41,0.0
41,12.0
41,2.0
41,2.0
41,4.0
41,7.0
41,7.0
41,9.0
42,0.0
42,0.0
42,0.0
42,0.0
42,0.0
42,0.0
42,0.0
42,0.0
42,14.0
42,16.0
42,2.0
42,2.0
42,2.0
42,2.0
42,26.0
42,4.0
42,4.0
42,4.0
42,4.0
42,7.0
42,7.0
43,11.0
43,11.0
43,11.0
43,13.0
43,16.0
43,2.0
43,2.0
43,2.0
43,2.0
43,2.0
43,20.0
43,23.0
43,25.0
43,4.0
43,4.0
43,6.0
43,9.0
43,9.0
43,9.0
44,0.0
44,0.0
44,0.0
44,0.0
44,0.0
44,11.0
44,2.0
44,2.0
44,2.0
44,2.0
44,2.0
44,2.0
44,36.0
44,4.0
44,4.0
44,4.0
44,4.0
44,4.0
44,4.0
44,6.0
44,9.0
44,9.0
45,0.0
45,0.0
45,11.0
45,17.0
45,2.0
45,2.0
45,20.0
45,22.0
45,4.0
45,4.0
45,4.0
45,4.0
45,6.0
45,8.0
46,0.0
46,0.0
46,0.0
46,0.0
46,15.0
46,19.0
46,2.0
46,2.0
46,2.0
46,2.0
46,32.0
46,4.0
46,4.0
46,4.0
46,4.0
46,6.0
46,6.0
46,6.0
46,6.0
46,6.0
46,8.0
46,8.0
47,0.0
47,0.0
47,0.0
47,0.0
47,0.0
47,17.0
47,17.0
47,17.0
47,2.0
47,2.0
47,2.0
47,2.0
47,4.0
47,4.0
47,6.0
47,8.0
47,8.0
47,8.0
48,0.0
48,0.0
48,0.0
48,0.0
48,10.0
48,12.0
48,16.0
48,2.0
48,2.0
48,2.0
48,27.0
48,4.0
48,8.0
48,8.0
49,0.0
49,0.0
49,0.0
49,0.0
49,0.0
49,10.0
49,12.0
49,12.0
49,12.0
49,12.0
49,14.0
49,18.0
49,2.0
49,2.0
49,2.0
49,2.0
49,2.0
49,20.0
49,24.0
49,4.0
49,6.0
49,6.0
49,6.0
50,0.0
50,0.0
50,0.0
50,0.0
